Start Time,End Time,Precipitation,Wind Speed,Wind Direction,Location
2024-06-22 07:00:00,2024-06-22 08:00:00,4.0,25.9,270.0,Potsdam
2024-06-22 07:00:00,2024-06-22 09:00:00,1.7,20.4,267.0,Berlin
2024-06-27 10:00:00,2024-06-27 10:00:00,1.4,11.1,150.0,Berlin
2024-06-27 14:00:00,2024-06-27 14:00:00,3.5,9.4,110.0,Potsdam
2024-06-27 20:00:00,2024-06-27 21:00:00,0.4,9.3,179.0,Berlin
2024-06-28 11:00:00,2024-06-28 11:00:00,2.0,16.9,270.0,Potsdam
2024-06-28 11:00:00,2024-06-28 11:00:00,0.4,14.8,272.0,Berlin
2024-06-30 05:00:00,2024-06-30 06:00:00,0.1,13.0,156.0,Berlin
2024-06-30 05:00:00,2024-06-30 06:00:00,0.2,8.3,80.0,Potsdam
2024-06-30 15:00:00,2024-06-30 15:00:00,0.6,26.6,260.0,Potsdam
2024-06-30 15:00:00,2024-06-30 16:00:00,0.2,20.4,275.0,Berlin
2024-06-30 17:00:00,2024-06-30 18:00:00,0.1,24.1,290.0,Potsdam
2024-06-30 19:00:00,2024-06-30 19:00:00,0.1,16.7,295.0,Berlin
2024-07-01 00:00:00,2024-07-01 00:00:00,1.2,10.8,270.0,Potsdam
2024-07-01 02:00:00,2024-07-01 02:00:00,0.1,15.1,260.0,Potsdam
2024-07-01 10:00:00,2024-07-01 11:00:00,0.4,11.1,268.0,Berlin
2024-07-01 10:00:00,2024-07-01 10:00:00,3.8,9.4,250.0,Potsdam
2024-07-01 13:00:00,2024-07-01 14:00:00,0.8,13.0,250.0,Potsdam
2024-07-01 16:00:00,2024-07-01 18:00:00,0.3,15.5,290.0,Potsdam
2024-07-01 21:00:00,2024-07-01 21:00:00,0.4,13.0,285.0,Berlin
2024-07-02 09:00:00,2024-07-02 09:00:00,0.2,21.6,240.0,Potsdam
2024-07-02 11:00:00,2024-07-02 13:00:00,0.3,14.8,258.0,Berlin
2024-07-02 12:00:00,2024-07-02 12:00:00,0.2,19.4,250.0,Potsdam
2024-07-02 15:00:00,2024-07-02 16:00:00,0.3,14.8,263.0,Berlin
2024-07-02 16:00:00,2024-07-02 17:00:00,0.1,17.6,260.0,Potsdam
2024-07-02 20:00:00,2024-07-02 21:00:00,0.4,18.7,280.0,Potsdam
2024-07-02 21:00:00,2024-07-02 21:00:00,0.5,14.8,271.0,Berlin
2024-07-04 14:00:00,2024-07-04 16:00:00,0.4,16.9,300.0,Potsdam
2024-07-04 16:00:00,2024-07-04 17:00:00,0.1,14.8,272.0,Berlin
2024-07-04 20:00:00,2024-07-04 20:00:00,0.5,11.1,271.0,Berlin
2024-07-06 17:00:00,2024-07-06 17:00:00,1.2,18.5,225.0,Berlin
2024-07-06 17:00:00,2024-07-06 17:00:00,0.1,17.6,210.0,Potsdam
2024-07-10 09:00:00,2024-07-10 10:00:00,16.2,13.7,330.0,Potsdam
2024-07-10 10:00:00,2024-07-10 11:00:00,0.6,9.3,268.0,Berlin
2024-07-10 18:00:00,2024-07-10 19:00:00,10.7,13.0,260.0,Potsdam
2024-07-10 19:00:00,2024-07-10 20:00:00,1.0,7.4,294.0,Berlin
2024-07-11 06:00:00,2024-07-11 06:00:00,0.1,12.2,250.0,Potsdam
2024-07-12 04:00:00,2024-07-12 04:00:00,0.1,9.4,60.0,Potsdam
2024-07-12 05:00:00,2024-07-12 05:00:00,0.4,11.1,104.0,Berlin
2024-07-12 07:00:00,2024-07-12 09:00:00,0.4,14.8,116.0,Berlin
2024-07-12 07:00:00,2024-07-12 09:00:00,0.8,10.1,60.0,Potsdam
